iter,ll,accept,sd,spp,foc_sp,nei_sp
16,-1574.4812057947172,0,0.015865884334419704,3.8534478340669425e-4,Heterotheca villosa,Ivesia gordonii
16,-1574.4812057947172,0,-0.0033090780068276635,-2.6825482136387473e-5,Lupinus argenteus,Eriogonum umbellatum
16,-1574.4812057947172,0,-0.02285235535292467,-0.0010399310440949029,Ivesia gordonii,Eriogonum umbellatum
16,-1574.4812057947172,0,0.02497661589834164,1.2791158081617887e-6,Eriogonum umbellatum,Eriogonum umbellatum
16,-1574.4812057947172,0,0.00667066166765493,-3.7818020035688764e-4,Heterotheca villosa,Eriogonum umbellatum
16,-1574.4812057947172,0,0.005413273359637003,-2.045811479162431e-4,Lupinus argenteus,Heterotheca villosa
16,-1574.4812057947172,0,-1.33995231459087e-4,-6.939434175815119e-4,Ivesia gordonii,Heterotheca villosa
16,-1574.4812057947172,0,0.005101084229529265,0.00108188514475048,Eriogonum umbellatum,Heterotheca villosa
16,-1574.4812057947172,0,-0.0016437583176966725,-1.9867922183473263e-4,Heterotheca villosa,Heterotheca villosa
17,-1574.6831926028638,1,-0.025504143916579222,3.7122459501603674e-4,Lupinus argenteus,Lupinus argenteus
17,-1574.6831926028638,1,0.017267981720555183,-1.7385871061000263e-6,Ivesia gordonii,Lupinus argenteus
17,-1574.6831926028638,1,-0.001701405009281563,-8.045894295398307e-4,Eriogonum umbellatum,Lupinus argenteus
17,-1574.6831926028638,1,-0.005833679252817083,0.002128866993705487,Heterotheca villosa,Lupinus argenteus
17,-1574.6831926028638,1,-0.006379301756605727,0.001666123642250458,Lupinus argenteus,Ivesia gordonii
17,-1574.6831926028638,1,0.003535457963524775,-5.059669529046317e-4,Ivesia gordonii,Ivesia gordonii
17,-1574.6831926028638,1,0.012438680463369076,-0.0011271103105096368,Eriogonum umbellatum,Ivesia gordonii
17,-1574.6831926028638,1,0.016562835364597683,9.336539955164667e-4,Heterotheca villosa,Ivesia gordonii
17,-1574.6831926028638,1,-0.004855795066995828,5.774942386703084e-4,Lupinus argenteus,Eriogonum umbellatum
17,-1574.6831926028638,1,-0.03116498994701468,-6.083559501318123e-4,Ivesia gordonii,Eriogonum umbellatum
17,-1574.6831926028638,1,0.032592059421790755,-3.615478807044102e-4,Eriogonum umbellatum,Eriogonum umbellatum
17,-1574.6831926028638,1,9.055923423536569e-4,-5.47475564949698e-5,Heterotheca villosa,Eriogonum umbellatum
17,-1574.6831926028638,1,-8.504089222553532e-4,-2.506796792345131e-4,Lupinus argenteus,Heterotheca villosa
17,-1574.6831926028638,1,0.004679358024131656,4.1600831861422945e-4,Ivesia gordonii,Heterotheca villosa
17,-1574.6831926028638,1,0.022053795068955464,5.689406139426466e-4,Eriogonum umbellatum,Heterotheca villosa
17,-1574.6831926028638,1,-0.019256021256823627,-1.790968448987153e-4,Heterotheca villosa,Heterotheca villosa
18,-1574.6831926028638,0,-0.025504143916579222,3.7122459501603674e-4,Lupinus argenteus,Lupinus argenteus
18,-1574.6831926028638,0,0.017267981720555183,-1.7385871061000263e-6,Ivesia gordonii,Lupinus argenteus
18,-1574.6831926028638,0,-0.001701405009281563,-8.045894295398307e-4,Eriogonum umbellatum,Lupinus argenteus
18,-1574.6831926028638,0,-0.005833679252817083,0.002128866993705487,Heterotheca villosa,Lupinus argenteus
18,-1574.6831926028638,0,-0.006379301756605727,0.001666123642250458,Lupinus argenteus,Ivesia gordonii
18,-1574.6831926028638,0,0.003535457963524775,-5.059669529046317e-4,Ivesia gordonii,Ivesia gordonii
